#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
           1     1.19096     1.19096           0
           2      1.1045     1.14773   0.0305689
           3     1.09164     1.12903    0.025462
           4     1.08875     1.11896    0.020994
           5     1.09754     1.11468   0.0172268
           6     1.09116     1.11076   0.0147948
           7     1.09776      1.1089   0.0127972
           8     1.10967       1.109   0.0111979
           9     1.14557     1.11306   0.0106655
          10     1.06207     1.10796   0.0107489
          11     1.10691     1.10787  0.00977217
          12     1.08027     1.10557  0.00922443
          13     1.06734     1.10263  0.00897139
          14     1.09773     1.10228   0.0083374
          15     1.07533     1.10048  0.00797278
          16     1.06735     1.09841  0.00773867
          17     1.10696     1.09891  0.00729979
          18     1.07741     1.09772  0.00699129
          19     1.13123     1.09948  0.00684218
          20     1.08128     1.09857  0.00656035
          21     1.09168     1.09824  0.00625615
          22     1.09521     1.09811   0.0059733
          23     1.09121     1.09781   0.0057211
          24     1.07627     1.09691  0.00555264
          25     1.07336     1.09597  0.00540984
          26     1.07823     1.09529  0.00524459
          27     1.11038     1.09584  0.00508007
          28     1.10448     1.09615  0.00490798
          29     1.11561     1.09682  0.00478436
          30     1.08345     1.09638   0.0046456
          31     1.07299     1.09562   0.0045566
          32     1.09636     1.09565  0.00441427
          33     1.06968     1.09486  0.00435004
          34     1.09844     1.09496  0.00422337
          35     1.07186      1.0943  0.00415398
          36     1.07958      1.0939  0.00405866
          37     1.06157     1.09302  0.00404193
          38     1.09143     1.09298  0.00393578
          39     1.09823     1.09311  0.00383717
          40      1.0734     1.09262  0.00377274
          41     1.09041     1.09257  0.00368111
          42     1.08859     1.09247  0.00359468
          43     1.11173     1.09292  0.00353887
          44     1.09396     1.09294  0.00345852
          45     1.09086      1.0929  0.00338197
          46     1.11127      1.0933  0.00333194
          47     1.08488     1.09312  0.00326586
          48     1.13612     1.09401  0.00331841
          49     1.08792     1.09389  0.00325302
          50     1.08468     1.09371  0.00319317
          51     1.08645     1.09356  0.00313373
          52     1.07355     1.09318  0.00309701
          53     1.10671     1.09343  0.00304908
          54     1.12532     1.09402  0.00304927
          55      1.0823     1.09381  0.00300127
          56     1.10209     1.09396  0.00295131
          57      1.1195     1.09441  0.00293337
          58     1.09487     1.09442   0.0028828
          59     1.07725     1.09412  0.00284858
          60     1.09049     1.09406  0.00280174
          61      1.0848     1.09391  0.00275993
          62      1.0736     1.09358  0.00273479
          63     1.07959     1.09336  0.00270039
          64     1.07516     1.09308  0.00267313
