# CITY: 		 POSITION X: 	 POSITION Y: 
     0         -0.852431      -0.522839
    21         -0.919926      -0.392092
    19         -0.999825     -0.0187185
     9                -1   -0.000251613
    22         -0.999045     -0.0436891
    18         -0.999755      0.0221516
     6         -0.961472       0.274902
     3         -0.982555       0.185974
    28         -0.537465       0.843286
    14         -0.491961       0.870617
    26         -0.383915       0.923368
    32         -0.260813       0.965389
    11         -0.299521        0.95409
     7         0.0320298       0.999487
    15         0.0494655       0.998776
    25          0.381408       0.924407
    30          0.442136       0.896948
    17          0.352084       0.935968
     2          0.558294       0.829643
    13          0.576359       0.817197
     8          0.557272        0.83033
    27          0.704137       0.710064
     1          0.807448       0.589939
    20          0.918119       0.396305
    24          0.955627      -0.294581
    12          0.980138      -0.198318
    33          0.567815      -0.823156
    10           0.46963      -0.882863
    23          0.461636      -0.887069
    29          0.345972      -0.938245
     4          0.122407       -0.99248
     5          -0.46715      -0.884178
    16          -0.66924      -0.743046
    31         -0.612839      -0.790208
